"pageid","session","party","constituency","constituency2","session_start","session_end","service","country","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace"
"4749360",19,"CDU","Börde – Jerichower Land","Sachsen-Anhalt",2017-10-24,2021-10-24,1461,"DEU","Q1327793","Manfred_Behrens","Manfred Behrens","male","white","protestantism evangelical",1956-10-28,NA,"52.13333,11.61667",NA
"237869",19,"CDU","Mittelsachsen","Sachsen",2017-10-24,2021-10-24,1461,"DEU","Q110576","Veronika_Bellmann","Veronika Bellmann","female","white","catholicism",1960-11-20,NA,"50.83333,12.91667",NA
"7889117",19,"CDU","Münster","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q14945716","Sybille_Benning","Sybille Benning","female","white","catholicism",1961-01-08,NA,"51.9625,7.62556",NA
"7771456",19,"CDU","Osnabrück-Land","Niedersachsen",2017-10-24,2021-10-24,1461,"DEU","Q13641202","André_Berghegger","André Berghegger","male","white","catholicism",1972-07-05,NA,"52.27889,8.04306",NA
"10059231",19,"AfD","Landesliste","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q40976001","Marc_Bernhard","Marc Bernhard","male","white",NA,1972-02-05,NA,"48.48333,9.21667",NA
"10079449",19,"CDU","Plön – Neumünster","Schleswig-Holstein",2017-10-24,2021-10-24,1461,"DEU","Q40999288","Melanie_Bernstein","Melanie Bernstein","female","white","protestantism evangelical",1976-09-28,NA,"53.31667,9.86667",NA
"10079392",19,"CDU","Halle","Sachsen-Anhalt",2017-10-24,2021-10-24,1461,"DEU","Q42116735","Christoph_Bernstiel","Christoph Bernstiel","male","white","atheism",1984-02-08,NA,"51.8,11.73333",NA
"3623466",19,"DIE LINKE","Landesliste","Schleswig-Holstein",2017-10-24,2021-10-24,1461,"DEU","Q40804106","Lorenz_Gösta_Beutin","Lorenz Gösta Beutin","male","white",NA,1978-07-18,NA,"53.55,10",NA
"4753526",19,"CDU","Mettmann II","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q2073936","Peter_Beyer_(Politiker)","Peter Beyer","male","white","catholicism",1970-12-25,NA,"51.3,6.85",NA
"10079360",19,"CDU","Böblingen","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q42115961","Marc_Biadacz","Marc Biadacz","male","white","catholicism",1979-09-03,NA,"48.68333,9",NA
"4748543",19,"CDU","Ludwigsburg","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q1648540","Steffen_Bilger","Steffen Bilger","male","white","protestantism evangelical",1979-02-16,NA,"47.81667,10.9",NA
"274971",19,"SPD","Landesliste","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q75408","Lothar_Binding","Lothar Binding","male","white",NA,1950-04-01,NA,"51.3222,9.55082",NA
"4756621",19,"DIE LINKE","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q1909731","Matthias_W._Birkwald","Matthias Birkwald","male","white",NA,1961-09-28,NA,"51.9625,7.62556",NA
"10060003",19,"AfD","Landesliste","Rheinland-Pfalz",2017-10-24,2021-10-24,1461,"DEU","Q40979188","Andreas_Bleck","Andreas Bleck","male",NA,"atheism",1988-04-17,NA,"50.42861,7.46139",NA
"173890",19,"CDU","Mosel/Rhein-Hunsrück","Rheinland-Pfalz",2017-10-24,2021-10-24,1461,"DEU","Q124941","Peter_Bleser","Peter Bleser","male","white","catholicism",1952-07-23,NA,"50.23194,7.23306",NA
"939090",19,"DIE LINKE","Landesliste","Mecklenburg-Vorpommern",2017-10-24,2021-10-24,1461,"DEU","Q101617","Heidrun_Bluhm","Heidrun Bluhm","female","white","atheism",1958-01-18,NA,"53.63333,11.41667",NA
"10015197",19,"AfD","Landesliste","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q37810277","Peter_Boehringer","Peter Boehringer","male","white",NA,1969-04-06,NA,"48.8,9.8",NA
"4754538",19,"CDU","Herzogtum Lauenburg – Stormarn-Süd","Schleswig-Holstein",2017-10-24,2021-10-24,1461,"DEU","Q1728136","Norbert_Brackmann","Norbert Brackmann","male","white","catholicism",1954-08-30,NA,"53.37583,10.55889",NA
"948715",19,"CDU","Fulda","Hessen",2017-10-24,2021-10-24,1461,"DEU","Q121174","Michael_Brand_(Politiker)","Michael Brand","male","white","protestantism evangelical",1973-11-19,NA,"50.55278,9.6775",NA
